id,name,type,agent,phases,description,inputs,outputs,integration_mode
synthetic-customer-interviews,"Synthetic Customer Interviews",simulation,customer-discovery,"3-find-pain","AI generates customer personas from market data and simulates interview responses to pain hypotheses. Clearly marked SIMULATED.","Pain hypotheses; ICP hypothesis; domain research","Simulated interview transcripts; pain validation signals","Built-in (AI-generated)"
synthetic-expert-interviews,"Synthetic Expert Interviews",simulation,customer-discovery,"2-understand-domain,3-find-pain","AI simulates domain expert perspectives on market dynamics pain prevalence and solution viability.","Domain research; expert role description","Expert perspective synthesis","Built-in (AI-generated)"
synthetic-value-prop-testing,"Synthetic Value Prop Testing",simulation,customer-discovery,"4-define-solution","AI personas evaluate value propositions from the customer perspective. Tests resonance and differentiation.","Value proposition statements; ICP definition","Ranked VPs with simulated customer reactions","Built-in (AI-generated)"
synthetic-solution-testing,"Synthetic Solution Testing",simulation,customer-discovery,"4-define-solution","AI personas experience a described solution or prototype and provide usability and desirability feedback.","Solution description or prototype; ICP definition","Usability and desirability feedback","Built-in (AI-generated)"
synthetic-board-feedback,"Synthetic NVB Board Feedback",simulation,venture-evaluator,any,"AI-simulated New Venture Board reviews current venture progress and provides feedback without a formal Go/No-Go. On-demand.","Current venture state; completed artifacts","Board-style feedback with questions and concerns","Built-in (AI-generated)"
deep-research-competitive,"Competitive Analysis via Deep Research",web-research,domain-explorer,"0-exploration,2-understand-domain","Web-enabled deep competitive analysis: players positioning funding weaknesses recent moves.","Domain or problem space","Competitive landscape report","Web search (automatic)"
deep-research-market-sizing,"Market Sizing via Deep Research",web-research,domain-explorer,"2-understand-domain,6-design-business","Web-enabled market sizing research: TAM/SAM/SOM data industry reports analyst estimates.","Domain; geography; customer segment","Market sizing data and sources","Web search (automatic)"
vibe-code-wedge,"Vibe Code — Early Wedge Product",ai-build,product-strategist,"4-define-solution","AI-assisted rapid creation of an early wedge product for testing via natural language prompting.","Wedge definition; core features","Early product prototype (code/mockup)","Claude Code / Cursor / Replit"
vibe-code-landing-page,"Vibe Code — Landing Pages",ai-build,growth-strategist,"6-design-business","AI-assisted creation of landing pages to test messaging and capture user interest before product is built.","Value proposition; ICP; messaging","Landing page code (HTML/React)","Claude Code / Cursor"
vibe-code-ads,"Vibe Code — Ads",ai-build,growth-strategist,"6-design-business","AI-assisted creation of ad copy and creatives for paid acquisition experiments.","Value proposition; target audience; channel","Ad copy variants for A/B testing","Claude Code / Canva AI"
listen-labs-integration,"Listen Labs Integration",external-tool,customer-discovery,"3-find-pain,4-define-solution","Import AI-led interview results from Listen Labs platform for synthesis into VB templates.","Listen Labs export (JSON/CSV)","Interview synthesis in VB template format","External API / file import"
maze-integration,"Maze Integration",external-tool,customer-discovery,"4-define-solution","Import usability testing and concept testing results from Maze platform.","Maze export","Usability and concept validation synthesis","External API / file import"
user-testing-integration,"UserTesting Integration",external-tool,customer-discovery,"4-define-solution","Import user research data from UserTesting platform for synthesis.","UserTesting export","User research synthesis","External API / file import"
