id,name,description,phase,duration_minutes,participants,output
domain-scan,"Domain Opportunity Scan","Systematically scan a domain for unmet needs using STEEP framework (Social/Tech/Economic/Environmental/Political)",0-exploration,60,2-4,"3-5 ranked opportunity areas"
how-might-we,"How Might We","Reframe pain points as opportunity questions to unlock creative solution space",1-ideation,30,2-6,"10-20 HMW questions"
pain-brainstorm,"Pain Brainstorm","Generate exhaustive list of potential customer pains in a domain using breadth-first thinking",3-find-pain,45,2-4,"20-50 pain hypotheses"
pain-atomization,"Pain Atomization","Break one broad pain into atomic sub-pains to find the sharpest most actionable needle",3-find-pain,60,2-3,"Atomic pain map with FIP scores"
wedge-storm,"Wedge Storming","Generate multiple wedge entry point hypotheses — what is the smallest piece we could sell first?",4-define-solution,45,2-4,"5-10 wedge options ranked"
value-prop-sprint,"Value Proposition Sprint","Rapidly generate and stress-test 5+ value propositions against the validated pain",4-define-solution,60,2-4,"Ranked value propositions"
business-model-exploration,"Business Model Exploration","Map 5+ different business model options using the BMC lens before selecting one",6-design-business,90,2-4,"Business model options comparison"
reverse-pitch,"Reverse Pitch","Each team member argues why the venture should be KILLED — surfaces hidden risks and weaknesses",5-business-case,45,3-5,"Risk list and mitigation actions"
competitor-teardown,"Competitor Teardown","Deep analysis of 3 top competitors: what they do well gaps and where we can win",2-understand-domain,60,2-3,"Competitive differentiation map"
from-to-story,"From/To Story Sprint","Craft the venture transformation story: what does the world look before vs after our solution?",6-design-business,45,2-3,"Vision story (From/To shift)"
asset-jam,"Asset Jam","Collaborative exercise to identify all mothership capabilities the venture can leverage (IP data customers brand tech)",1-setup-team,90,4-8,"Mothership asset inventory"
icp-definition,"ICP Definition Workshop","Define the Ideal Customer Profile: demographics psychographics behaviors pain intensity buying power",3-find-pain,60,2-4,"ICP document"
concept-card-sprint,"Concept Card Sprint","Create 3-5 concept cards representing different solution directions for customer testing",4-define-solution,60,2-3,"Concept cards for interviews"
